Luminosity,Temp
830.00,25.54
773.75,25.54
837.00,25.51
768.25,25.51
767.50,25.51
764.50,25.51
775.75,25.50
829.50,25.52
824.75,25.49
833.50,25.51
847.50,25.47
847.75,25.49
851.50,25.47
851.25,25.46
849.25,25.47
849.75,25.48
837.75,25.45
820.75,25.48
851.00,25.48
849.50,25.48
850.50,25.48
850.00,25.51
812.25,25.49
751.00,25.51
826.50,25.51
828.25,25.53
837.00,25.53
836.50,25.57
803.75,25.59
412.00,25.57
800.50,25.58
800.25,25.60
809.25,25.59
634.75,25.63
827.00,25.62
818.00,25.62
796.00,25.65
793.00,25.64
702.25,25.68
802.25,25.68
780.25,25.68
778.50,25.69
794.00,25.71
798.25,25.71
786.50,25.71
787.75,25.75
735.50,25.73
717.00,25.76
751.75,25.77
703.25,25.78
720.75,25.78
731.50,25.83
724.00,25.83
727.75,25.84
774.25,25.86
767.50,25.88
814.25,25.87
788.75,25.88
735.75,25.91
668.75,25.91
747.00,25.93
743.00,25.97
736.25,25.97
720.75,26.01
741.00,26.01
835.00,26.01
764.25,26.04
777.75,26.09
754.75,26.12
785.25,26.16
760.00,26.16
774.75,26.17
786.00,26.18
784.00,26.17
796.25,26.17
729.00,26.19
760.25,26.17
804.50,26.22
788.00,26.17
772.25,26.18
749.50,26.20
714.00,26.17
752.75,26.21
795.75,26.18
771.50,26.20
829.00,26.20
822.25,26.22
790.75,26.21
